2022-05-30 01:13:05 status unpacked libattr1:amd64 1:2.4.47-2
2022-05-30 01:13:05 install libaudit-common:all <none> 1:2.4-1
2022-05-30 01:13:05 status half-installed libaudit-common:all 1:2.4-1
2022-05-30 01:13:05 status unpacked libaudit-common:all 1:2.4-1
2022-05-30 01:13:05 status unpacked libaudit-common:all 1:2.4-1
2022-05-30 01:13:05 install libaudit1:amd64 <none> 1:2.4-1+b1
2022-05-30 01:13:05 status half-installed libaudit1:amd64 1:2.4-1+b1
2022-05-30 01:13:05 status unpacked libaudit1:amd64 1:2.4-1+b1
2022-05-30 01:13:05 status unpacked libaudit1:amd64 1:2.4-1+b1
2022-05-30 01:13:05 upgrade base-files:amd64 8+deb8u11 8+deb8u11
2022-05-30 01:13:05 status half-configured base-files:amd64 8+deb8u11
2022-05-30 01:13:05 status unpacked base-files:amd64 8+deb8u11
2022-05-30 01:13:05 status half-installed base-files:amd64 8+deb8u11
2022-05-30 01:13:05 status half-installed base-files:amd64 8+deb8u11
2022-05-30 01:13:05 status unpacked base-files:amd64 8+deb8u11
2022-05-30 01:13:05 status unpacked base-files:amd64 8+deb8u11
2022-05-30 01:13:05 upgrade base-passwd:amd64 3.5.37 3.5.37
2022-05-30 01:13:05 status half-configured base-passwd:amd64 3.5.37
2022-05-30 01:13:05 status unpacked base-passwd:amd64 3.5.37
2022-05-30 01:13:05 status half-installed base-passwd:amd64 3.5.37
2022-05-30 01:13:05 status half-installed base-passwd:amd64 3.5.37
2022-05-30 01:13:05 status unpacked base-passwd:amd64 3.5.37
2022-05-30 01:13:05 status unpacked base-passwd:amd64 3.5.37
2022-05-30 01:13:05 install bash:amd64 <none> 4.3-11+deb8u1
2022-05-30 01:13:05 status half-installed bash:amd64 4.3-11+deb8u1
2022-05-30 01:13:05 status unpacked bash:amd64 4.3-11+deb8u1
2022-05-30 01:13:05 status unpacked bash:amd64 4.3-11+deb8u1
2022-05-30 01:13:05 install libbz2-1.0:amd64 <none> 1.0.6-7+b3
2022-05-30 01:13:05 status half-installed libbz2-1.0:amd64 1.0.6-7+b3
2022-05-30 01:13:05 status unpacked libbz2-1.0:amd64 1.0.6-7+b3
2022-05-30 01:13:05 status unpacked libbz2-1.0:amd64 1.0.6-7+b3
2022-05-30 01:13:05 install libdebconfclient0:amd64 <none> 0.192
2022-05-30 01:13:05 status half-installed libdebconfclient0:amd64 0.192
2022-05-30 01:13:06 status unpacked libdebconfclient0:amd64 0.192
2022-05-30 01:13:06 status unpacked libdebconfclient0:amd64 0.192
2022-05-30 01:13:06 install coreutils:amd64 <none> 8.23-4
2022-05-30 01:13:06 status half-installed coreutils:amd64 8.23-4
2022-05-30 01:13:06 status unpacked coreutils:amd64 8.23-4
2022-05-30 01:13:06 status unpacked coreutils:amd64 8.23-4
2022-05-30 01:13:06 install libcryptsetup4:amd64 <none> 2:1.6.6-5
2022-05-30 01:13:06 status half-installed libcryptsetup4:amd64 2:1.6.6-5
2022-05-30 01:13:06 status unpacked libcryptsetup4:amd64 2:1.6.6-5
2022-05-30 01:13:06 status unpacked libcryptsetup4:amd64 2:1.6.6-5
2022-05-30 01:13:06 install dash:amd64 <none> 0.5.7-4+b1
2022-05-30 01:13:06 status half-installed dash:amd64 0.5.7-4+b1
2022-05-30 01:13:06 status unpacked dash:amd64 0.5.7-4+b1
2022-05-30 01:13:06 status unpacked dash:amd64 0.5.7-4+b1
2022-05-30 01:13:07 install libdb5.3:amd64 <none> 5.3.28-9+deb8u1
2022-05-30 01:13:07 status half-installed libdb5.3:amd64 5.3.28-9+deb8u1
2022-05-30 01:13:07 status unpacked libdb5.3:amd64 5.3.28-9+deb8u1
2022-05-30 01:13:07 status unpacked libdb5.3:amd64 5.3.28-9+deb8u1
2022-05-30 01:13:07 upgrade debconf:all 1.5.56+deb8u1 1.5.56+deb8u1
2022-05-30 01:13:07 status half-configured debconf:all 1.5.56+deb8u1
2022-05-30 01:13:07 status unpacked debconf:all 1.5.56+deb8u1
2022-05-30 01:13:07 status half-installed debconf:all 1.5.56+deb8u1
2022-05-30 01:13:07 status half-installed debconf:all 1.5.56+deb8u1
2022-05-30 01:13:07 status unpacked debconf:all 1.5.56+deb8u1
2022-05-30 01:13:07 status unpacked debconf:all 1.5.56+deb8u1
2022-05-30 01:13:07 install debconf-i18n:all <none> 1.5.56+deb8u1
