https://deb.debian.org/debian/dists/jessie/InRelease:
2022-05-29 21:12:10 ERROR 404: Not Found.
2022-05-29 21:12:30 URL:https://deb.debian.org/debian/pool/main/c/ca-certificates/ca-certificates_20141019+deb8u3_all.deb [206870/206870] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/ca-certificates_20141019+deb8u3_all.deb" [1]
2022-05-29 21:12:31 URL:https://deb.debian.org/debian/pool/main/c/cdebconf/libdebconfclient0_0.192_amd64.deb [46242/46242] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/libdebconfclient0_0.192_amd64.deb" [1]
2022-05-29 21:12:31 URL:https://deb.debian.org/debian/pool/main/c/coreutils/coreutils_8.23-4_amd64.deb [2727240/2727240] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/coreutils_8.23-4_amd64.deb" [1]
2022-05-29 21:12:31 URL:https://deb.debian.org/debian/pool/main/c/cpio/cpio_2.11+dfsg-4.1+deb8u1_amd64.deb [176830/176830] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/cpio_2.11+dfsg-4.1+deb8u1_amd64.deb" [1]
2022-05-29 21:12:31 URL:https://deb.debian.org/debian/pool/main/c/cron/cron_3.0pl1-127+deb8u1_amd64.deb [93968/93968] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/cron_3.0pl1-127+deb8u1_amd64.deb" [1]
2022-05-29 21:12:31 URL:https://deb.debian.org/debian/pool/main/c/cryptsetup/libcryptsetup4_1.6.6-5_amd64.deb [103204/103204] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/libcryptsetup4_2%3a1.6.6-5_amd64.deb" [1]
2022-05-29 21:12:31 URL:https://deb.debian.org/debian/pool/main/c/curl/libcurl3-gnutls_7.38.0-4+deb8u11_amd64.deb [252764/252764] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/libcurl3-gnutls_7.38.0-4+deb8u11_amd64.deb" [1]
2022-05-29 21:12:31 URL:https://deb.debian.org/debian/pool/main/c/cyrus-sasl2/libsasl2-2_2.1.26.dfsg1-13+deb8u1_amd64.deb [104548/104548] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/libsasl2-2_2.1.26.dfsg1-13+deb8u1_amd64.deb" [1]
2022-05-29 21:12:31 URL:https://deb.debian.org/debian/pool/main/c/cyrus-sasl2/libsasl2-modules-db_2.1.26.dfsg1-13+deb8u1_amd64.deb [67134/67134] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/libsasl2-modules-db_2.1.26.dfsg1-13+deb8u1_amd64.deb" [1]
2022-05-29 21:12:32 URL:https://deb.debian.org/debian/pool/main/d/dash/dash_0.5.7-4+b1_amd64.deb [109056/109056] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/dash_0.5.7-4+b1_amd64.deb" [1]
2022-05-29 21:12:32 URL:https://deb.debian.org/debian/pool/main/d/db5.3/libdb5.3_5.3.28-9+deb8u1_amd64.deb [680278/680278] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/libdb5.3_5.3.28-9+deb8u1_amd64.deb" [1]
2022-05-29 21:12:32 URL:https://deb.debian.org/debian/pool/main/d/debconf/debconf_1.5.56+deb8u1_all.deb [167274/167274] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/debconf_1.5.56+deb8u1_all.deb" [1]
